val_mae,val_mape,val_loss,epoch,step,train_mae,train_mape,train_loss,test_mae,test_mape,test_loss
8.067705154418945,1.1091870069503784,8.015973091125488,0,193,,,,,,
,,,1,193,6.001976490020752,1.1001640558242798,6.001617908477783,,,
8.060331344604492,1.1124632358551025,8.008760452270508,1,387,,,,,,
,,,2,387,5.9161577224731445,1.0480434894561768,5.915863990783691,,,
8.055766105651855,1.1089295148849487,8.004217147827148,2,581,,,,,,
,,,3,581,5.919910430908203,1.0481846332550049,5.919777870178223,,,
8.038379669189453,1.1117405891418457,7.987156391143799,3,775,,,,,,
,,,4,775,5.918757438659668,1.046694278717041,5.918540000915527,,,
8.0241117477417,1.0865720510482788,7.972818374633789,4,969,,,,,,
,,,5,969,5.907639980316162,1.0463294982910156,5.907557964324951,,,
8.01838493347168,1.083132266998291,7.967105388641357,5,1163,,,,,,
,,,6,1163,5.909541130065918,1.0456422567367554,5.909640789031982,,,
8.033538818359375,1.1224768161773682,7.982393264770508,6,1357,,,,,,
,,,7,1357,5.912249565124512,1.0452771186828613,5.912196159362793,,,
8.06274127960205,1.113269567489624,8.010978698730469,7,1551,,,,,,
,,,8,1551,5.903685092926025,1.0455752611160278,5.903622150421143,,,
8.050009727478027,1.093438982963562,7.998170375823975,8,1745,,,,,,
,,,9,1745,5.906732559204102,1.0451581478118896,5.906902313232422,,,
8.045933723449707,1.094475507736206,7.994129180908203,9,1939,,,,,,
,,,10,1939,5.904102802276611,1.046187162399292,5.903879642486572,,,
8.046305656433105,1.1063504219055176,7.994624137878418,10,2133,,,,,,
,,,11,2133,5.904364585876465,1.044745683670044,5.904460430145264,,,
,,,11,2163,,,,6.665654182434082,1.162521481513977,6.601766109466553
