val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
5.564157485961914,5.551721096038818,0,23,,,,
,,1,23,6.333911895751953,6.333909511566162,,
5.263619899749756,5.251311302185059,1,47,,,,
,,2,47,4.39730978012085,4.397315979003906,,
5.160205841064453,5.148360729217529,2,71,,,,
,,3,71,4.281862735748291,4.281928539276123,,
5.116767406463623,5.105070114135742,3,95,,,,
,,4,95,4.233193874359131,4.233224391937256,,
5.064501762390137,5.0530781745910645,4,119,,,,
,,5,119,4.208173751831055,4.208186626434326,,
5.0347676277160645,5.0235443115234375,5,143,,,,
,,6,143,4.197267055511475,4.197281360626221,,
5.026882171630859,5.015605926513672,6,167,,,,
,,7,167,4.187182903289795,4.1871819496154785,,
5.0210652351379395,5.009797096252441,7,191,,,,
,,8,191,4.172541618347168,4.172540664672852,,
5.024600028991699,5.013200759887695,8,215,,,,
,,9,215,4.168426036834717,4.168415546417236,,
5.012750625610352,5.0014166831970215,9,239,,,,
,,10,239,4.155742645263672,4.155689716339111,,
5.025967121124268,5.0145392417907715,10,263,,,,
,,11,263,4.144636631011963,4.144680500030518,,
4.989575386047363,4.978366374969482,11,287,,,,
,,12,287,4.151566505432129,4.151581287384033,,
5.011464595794678,5.0000715255737305,12,311,,,,
,,13,311,4.142021179199219,4.14196252822876,,
4.989798545837402,4.9785237312316895,13,335,,,,
,,14,335,4.136177062988281,4.136201858520508,,
5.017529487609863,5.006066799163818,14,359,,,,
,,15,359,4.127866744995117,4.127868175506592,,
4.971153736114502,4.96016788482666,15,383,,,,
,,16,383,4.132885456085205,4.132856845855713,,
4.970562934875488,4.959396839141846,16,407,,,,
,,17,407,4.125775337219238,4.125766754150391,,
5.008816719055176,4.997420310974121,17,431,,,,
,,18,431,4.121909141540527,4.121878623962402,,
4.967826843261719,4.95668888092041,18,455,,,,
,,19,455,4.1250104904174805,4.125005722045898,,
4.968283176422119,4.957192897796631,19,479,,,,
,,20,479,4.123803615570068,4.12376594543457,,
4.990817546844482,4.9795098304748535,20,503,,,,
,,21,503,4.1229705810546875,4.122931003570557,,
5.056424140930176,5.044707775115967,21,527,,,,
,,22,527,4.117956638336182,4.117947578430176,,
4.949955940246582,4.938986301422119,22,551,,,,
,,23,551,4.1241936683654785,4.1241607666015625,,
4.9652485847473145,4.954176425933838,23,575,,,,
,,24,575,4.117046356201172,4.117006301879883,,
4.998733043670654,4.9874372482299805,24,599,,,,
,,25,599,4.1185784339904785,4.11860990524292,,
4.97727108001709,4.966033935546875,25,623,,,,
,,26,623,4.115731716156006,4.115734577178955,,
4.956811904907227,4.945828914642334,26,647,,,,
,,27,647,4.111322402954102,4.111338138580322,,
4.995926380157471,4.9846391677856445,27,671,,,,
,,28,671,4.118837833404541,4.118810653686523,,
4.947783470153809,4.9368367195129395,28,695,,,,
,,29,695,4.114026069641113,4.113997459411621,,
5.023630142211914,5.012094497680664,29,719,,,,
,,30,719,4.112633228302002,4.112635135650635,,
4.9976935386657715,4.98632287979126,30,743,,,,
,,31,743,4.113511562347412,4.113426208496094,,
4.9809417724609375,4.969688415527344,31,767,,,,
,,32,767,4.111268043518066,4.111301898956299,,
4.9861650466918945,4.974898815155029,32,791,,,,
,,33,791,4.108306884765625,4.108283042907715,,
5.0058183670043945,4.994394302368164,33,815,,,,
,,34,815,4.109390735626221,4.109379291534424,,
4.950295925140381,4.939342021942139,34,839,,,,
,,35,839,4.110568523406982,4.11052942276001,,
4.977787017822266,4.966535568237305,35,863,,,,
,,36,863,4.111608028411865,4.111640453338623,,
4.9625749588012695,4.951535701751709,36,887,,,,
,,37,887,4.107627868652344,4.107550144195557,,
5.001322269439697,4.989966869354248,37,911,,,,
,,38,911,4.108083248138428,4.108093738555908,,
4.969932556152344,4.958770751953125,38,935,,,,
,,39,935,4.1046857833862305,4.104727745056152,,
5.020257472991943,5.008726596832275,39,959,,,,
,,40,959,4.1075758934021,4.107551574707031,,
4.970536708831787,4.959396839141846,40,983,,,,
,,41,983,4.108769416809082,4.108745574951172,,
4.950958728790283,4.939944267272949,41,1007,,,,
,,42,1007,4.10897970199585,4.108943939208984,,
4.964936256408691,4.953826427459717,42,1031,,,,
,,43,1031,4.105782985687256,4.105842113494873,,
5.002099990844727,4.990732669830322,43,1055,,,,
,,44,1055,4.106964111328125,4.106962203979492,,
4.963114261627197,4.95197057723999,44,1079,,,,
,,45,1079,4.106675148010254,4.106688022613525,,
4.991515159606934,4.980185031890869,45,1103,,,,
,,46,1103,4.104004859924316,4.103994369506836,,
5.000473499298096,4.989085674285889,46,1127,,,,
,,47,1127,4.109994411468506,4.1099677085876465,,
4.999171733856201,4.9877824783325195,47,1151,,,,
,,48,1151,4.104273319244385,4.1043195724487305,,
4.9770307540893555,4.965810775756836,48,1175,,,,
,,49,1175,4.107059478759766,4.107049465179443,,
4.952854156494141,4.941841125488281,49,1199,,,,
,,50,1199,4.102606773376465,4.102594375610352,,
,,50,1200,,,4.374174118041992,4.347955703735352
