val_mae,val_mape,val_loss,epoch,step,train_mae,train_mape,train_loss,test_mae,test_mape,test_loss
8.051051139831543,1.0819236040115356,7.999330520629883,0,193,,,,,,
,,,1,193,5.980297088623047,1.0856704711914062,5.980247974395752,,,
8.066911697387695,1.1139066219329834,8.015247344970703,1,387,,,,,,
,,,2,387,5.9098801612854,1.0474542379379272,5.909660339355469,,,
8.044567108154297,1.0856387615203857,7.992969512939453,2,581,,,,,,
,,,3,581,5.91804313659668,1.0471585988998413,5.918084621429443,,,
8.033824920654297,1.0960999727249146,7.982499599456787,3,775,,,,,,
,,,4,775,5.919092655181885,1.046365737915039,5.918757915496826,,,
8.03453254699707,1.0739847421646118,7.982968330383301,4,969,,,,,,
,,,5,969,5.915814399719238,1.048397421836853,5.9154253005981445,,,
7.997230529785156,1.0868017673492432,7.946437358856201,5,1163,,,,,,
,,,6,1163,5.911250114440918,1.0454416275024414,5.91135311126709,,,
8.044724464416504,1.136069893836975,7.993676662445068,6,1357,,,,,,
,,,7,1357,5.9133100509643555,1.0459829568862915,5.91294002532959,,,
8.064290046691895,1.1464672088623047,8.013067245483398,7,1551,,,,,,
,,,8,1551,5.906359672546387,1.046462893486023,5.906435489654541,,,
7.956647872924805,1.1088063716888428,7.906716346740723,8,1745,,,,,,
,,,9,1745,5.907998561859131,1.0456398725509644,5.9076995849609375,,,
7.996034622192383,1.0984700918197632,7.945178985595703,9,1939,,,,,,
,,,10,1939,5.909862041473389,1.0456795692443848,5.9094672203063965,,,
8.020782470703125,1.101794958114624,7.969447135925293,10,2133,,,,,,
,,,11,2133,5.90783166885376,1.045168399810791,5.907923698425293,,,
8.03012466430664,1.1192184686660767,7.97883415222168,11,2327,,,,,,
,,,12,2327,5.902572154998779,1.0456137657165527,5.902788162231445,,,
8.008893013000488,1.107810139656067,7.957801342010498,12,2521,,,,,,
,,,13,2521,5.90483283996582,1.0448042154312134,5.90484094619751,,,
8.013032913208008,1.0868167877197266,7.961592197418213,13,2715,,,,,,
,,,14,2715,5.900918960571289,1.0452907085418701,5.90096378326416,,,
8.04294204711914,1.104613184928894,7.991209030151367,14,2909,,,,,,
,,,15,2909,5.907299041748047,1.0434682369232178,5.906954288482666,,,
8.02548599243164,1.0855478048324585,7.973808288574219,15,3103,,,,,,
,,,16,3103,5.902792453765869,1.0452876091003418,5.90264368057251,,,
7.970892906188965,1.104278564453125,7.920413494110107,16,3297,,,,,,
,,,17,3297,5.898215293884277,1.0434287786483765,5.898077011108398,,,
7.991091251373291,1.1135835647583008,7.940317153930664,17,3491,,,,,,
,,,18,3491,5.899980545043945,1.0444443225860596,5.900017261505127,,,
8.004712104797363,1.0903359651565552,7.953432559967041,18,3685,,,,,,
,,,19,3685,5.897151947021484,1.044128179550171,5.897336483001709,,,
8.019383430480957,1.142149567604065,7.968533039093018,19,3879,,,,,,
,,,20,3879,5.903176307678223,1.042608618736267,5.9032440185546875,,,
8.02115249633789,1.1307131052017212,7.970083713531494,20,4073,,,,,,
,,,21,4073,5.901189804077148,1.0442798137664795,5.901577949523926,,,
7.983746528625488,1.113504409790039,7.933084011077881,21,4267,,,,,,
,,,22,4267,5.895287990570068,1.0434316396713257,5.895125389099121,,,
7.972186088562012,1.10221529006958,7.921590328216553,22,4461,,,,,,
,,,23,4461,5.904335975646973,1.0448412895202637,5.904119968414307,,,
8.028422355651855,1.1022549867630005,7.976892471313477,23,4655,,,,,,
,,,24,4655,5.896511554718018,1.0432897806167603,5.896383285522461,,,
7.985345840454102,1.1082133054733276,7.934601783752441,24,4849,,,,,,
,,,25,4849,5.899806976318359,1.0428345203399658,5.899610996246338,,,
7.995930194854736,1.1331373453140259,7.945296764373779,25,5043,,,,,,
,,,26,5043,5.900187969207764,1.0422396659851074,5.899774551391602,,,
7.998394012451172,1.0854268074035645,7.947160243988037,26,5237,,,,,,
,,,27,5237,5.894268035888672,1.0435810089111328,5.893886089324951,,,
7.989511489868164,1.116072177886963,7.938777446746826,27,5431,,,,,,
,,,28,5431,5.898006439208984,1.0422114133834839,5.898045063018799,,,
7.992486476898193,1.1321686506271362,7.9419331550598145,28,5625,,,,,,
,,,29,5625,5.893579006195068,1.0420801639556885,5.893272399902344,,,
8.015213966369629,1.1364094018936157,7.964308738708496,29,5819,,,,,,
,,,30,5819,5.893678188323975,1.0415222644805908,5.893982410430908,,,
7.983129978179932,1.0911225080490112,7.932223320007324,30,6013,,,,,,
,,,31,6013,5.894509315490723,1.0439114570617676,5.894168376922607,,,
8.00631046295166,1.1026877164840698,7.955111503601074,31,6207,,,,,,
,,,32,6207,5.893699645996094,1.0417205095291138,5.893314838409424,,,
8.001752853393555,1.0990560054779053,7.950591564178467,32,6401,,,,,,
,,,33,6401,5.894003391265869,1.041335940361023,5.893791198730469,,,
7.991554260253906,1.116908073425293,7.940780162811279,33,6595,,,,,,
,,,34,6595,5.887664794921875,1.0415740013122559,5.887738227844238,,,
7.981180667877197,1.103007197380066,7.930425643920898,34,6789,,,,,,
,,,35,6789,5.892569065093994,1.042223334312439,5.892320156097412,,,
7.984859466552734,1.0995290279388428,7.934030055999756,35,6983,,,,,,
,,,36,6983,5.889049530029297,1.0424360036849976,5.889324188232422,,,
7.981700897216797,1.1041812896728516,7.930950164794922,36,7177,,,,,,
,,,37,7177,5.8906755447387695,1.041838526725769,5.890540599822998,,,
7.995896816253662,1.11860990524292,7.945085048675537,37,7371,,,,,,
,,,38,7371,5.888852596282959,1.040662407875061,5.888805866241455,,,
7.996078014373779,1.0863038301467896,7.94489860534668,38,7565,,,,,,
,,,39,7565,5.891777992248535,1.0428905487060547,5.891927719116211,,,
8.000641822814941,1.092085599899292,7.949427604675293,39,7759,,,,,,
,,,40,7759,5.889420986175537,1.0407613515853882,5.889278411865234,,,
7.977969646453857,1.106311321258545,7.927289962768555,40,7953,,,,,,
,,,41,7953,5.8854498863220215,1.04075026512146,5.885251522064209,,,
8.000950813293457,1.1053370237350464,7.949906826019287,41,8147,,,,,,
,,,42,8147,5.887161731719971,1.0415984392166138,5.886822700500488,,,
7.978278636932373,1.1091324090957642,7.927640914916992,42,8341,,,,,,
,,,43,8341,5.888891220092773,1.0413905382156372,5.88901424407959,,,
7.961106777191162,1.100563883781433,7.910740375518799,43,8535,,,,,,
,,,44,8535,5.883910655975342,1.041216492652893,5.883594036102295,,,
7.986670017242432,1.1291683912277222,7.936135768890381,44,8729,,,,,,
,,,45,8729,5.886160850524902,1.0406291484832764,5.886126518249512,,,
7.962274074554443,1.122807264328003,7.912081718444824,45,8923,,,,,,
,,,46,8923,5.885334014892578,1.040298342704773,5.885098457336426,,,
7.982789516448975,1.1140975952148438,7.932103157043457,46,9117,,,,,,
,,,47,9117,5.884340286254883,1.0417853593826294,5.88408088684082,,,
7.986053943634033,1.0938724279403687,7.935102462768555,47,9311,,,,,,
,,,48,9311,5.886308670043945,1.0406407117843628,5.886523246765137,,,
7.9751081466674805,1.1165753602981567,7.924604415893555,48,9505,,,,,,
,,,49,9505,5.886311054229736,1.0398858785629272,5.886033535003662,,,
7.990645885467529,1.1005903482437134,7.9396820068359375,49,9699,,,,,,
,,,50,9699,5.8839311599731445,1.041287899017334,5.884102821350098,,,
,,,50,9700,,,,6.6546807289123535,1.189423680305481,6.592392921447754
