val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
3.076998472213745,3.070899724960327,0,23,,,,
,,1,23,3.264150381088257,3.2640035152435303,,
2.9630017280578613,2.9576380252838135,1,47,,,,
,,2,47,2.6846916675567627,2.6846868991851807,,
2.945706605911255,2.940406084060669,2,71,,,,
,,3,71,2.657580614089966,2.6575920581817627,,
2.941915988922119,2.936588764190674,3,95,,,,
,,4,95,2.646328926086426,2.646329641342163,,
2.932598352432251,2.9272828102111816,4,119,,,,
,,5,119,2.6390058994293213,2.638982057571411,,
2.9162261486053467,2.910972833633423,5,143,,,,
,,6,143,2.627314329147339,2.627279758453369,,
2.92035174369812,2.9150145053863525,6,167,,,,
,,7,167,2.6278531551361084,2.6278412342071533,,
2.910404682159424,2.905133008956909,7,191,,,,
,,8,191,2.6207549571990967,2.6207730770111084,,
2.9154765605926514,2.9101362228393555,8,215,,,,
,,9,215,2.615644693374634,2.6156668663024902,,
2.917564630508423,2.9122071266174316,9,239,,,,
,,10,239,2.614163875579834,2.614185333251953,,
2.9024600982666016,2.8972315788269043,10,263,,,,
,,11,263,2.6119930744171143,2.612009286880493,,
2.901132583618164,2.895876169204712,11,287,,,,
,,12,287,2.6145975589752197,2.6146116256713867,,
2.9047229290008545,2.8994102478027344,12,311,,,,
,,13,311,2.6099939346313477,2.6099753379821777,,
2.899747133255005,2.8944780826568604,13,335,,,,
,,14,335,2.608572244644165,2.608579635620117,,
2.920788288116455,2.915332555770874,14,359,,,,
,,15,359,2.604339361190796,2.604301691055298,,
2.8987462520599365,2.8934807777404785,15,383,,,,
,,16,383,2.609398126602173,2.6094276905059814,,
2.8936541080474854,2.888411045074463,16,407,,,,
,,17,407,2.6072545051574707,2.6072607040405273,,
2.912696599960327,2.907332420349121,17,431,,,,
,,18,431,2.602628231048584,2.602604866027832,,
2.893247127532959,2.8880014419555664,18,455,,,,
,,19,455,2.6026360988616943,2.6026480197906494,,
2.8997087478637695,2.894404888153076,19,479,,,,
,,20,479,2.6023108959198,2.602292537689209,,
2.890026330947876,2.884805917739868,20,503,,,,
,,21,503,2.6041972637176514,2.6042563915252686,,
2.8942043781280518,2.888930320739746,21,527,,,,
,,22,527,2.6027591228485107,2.6027660369873047,,
2.904174327850342,2.8988709449768066,22,551,,,,
,,23,551,2.5990865230560303,2.5990853309631348,,
2.8954873085021973,2.890179395675659,23,575,,,,
,,24,575,2.5952980518341064,2.5952980518341064,,
2.8948843479156494,2.889622926712036,24,599,,,,
,,25,599,2.6002132892608643,2.6002049446105957,,
2.902156114578247,2.8968710899353027,25,623,,,,
,,26,623,2.60128116607666,2.6012661457061768,,
2.894829273223877,2.889518976211548,26,647,,,,
,,27,647,2.6050312519073486,2.6050450801849365,,
2.897534132003784,2.89219069480896,27,671,,,,
,,28,671,2.5938265323638916,2.5938150882720947,,
2.887040376663208,2.881791353225708,28,695,,,,
,,29,695,2.5966503620147705,2.59662127494812,,
2.888247013092041,2.8829710483551025,29,719,,,,
,,30,719,2.59394907951355,2.5939748287200928,,
2.890380620956421,2.885106325149536,30,743,,,,
,,31,743,2.596219301223755,2.596245288848877,,
2.884382486343384,2.879157543182373,31,767,,,,
,,32,767,2.595726728439331,2.595717668533325,,
2.884592056274414,2.8793630599975586,32,791,,,,
,,33,791,2.59370493888855,2.5937047004699707,,
2.889493942260742,2.884206771850586,33,815,,,,
,,34,815,2.5990958213806152,2.5990772247314453,,
2.909189462661743,2.9037811756134033,34,839,,,,
,,35,839,2.5961201190948486,2.5961172580718994,,
2.883380889892578,2.878131866455078,35,863,,,,
,,36,863,2.597303867340088,2.5973079204559326,,
