val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
5.321108341217041,5.308599948883057,0,23,,,,
,,1,23,4.874382972717285,4.874765872955322,,
5.206634521484375,5.1946120262146,1,47,,,,
,,2,47,4.318543434143066,4.3185648918151855,,
5.137516498565674,5.125786781311035,2,71,,,,
,,3,71,4.265201568603516,4.265171527862549,,
5.090206623077393,5.078627109527588,3,95,,,,
,,4,95,4.218588352203369,4.218616962432861,,
5.073441028594971,5.061820983886719,4,119,,,,
,,5,119,4.187842845916748,4.1878533363342285,,
5.049534797668457,5.038025379180908,5,143,,,,
,,6,143,4.167908668518066,4.1678996086120605,,
5.0185017585754395,5.007143974304199,6,167,,,,
,,7,167,4.1576828956604,4.1576714515686035,,
5.045337200164795,5.033753395080566,7,191,,,,
,,8,191,4.148772716522217,4.148787498474121,,
5.0909423828125,5.079135894775391,8,215,,,,
,,9,215,4.141907215118408,4.1418776512146,,
5.058659553527832,5.046989440917969,9,239,,,,
,,10,239,4.139396667480469,4.139427661895752,,
5.022133827209473,5.0107316970825195,10,263,,,,
,,11,263,4.136946201324463,4.136910915374756,,
5.050843238830566,5.039172649383545,11,287,,,,
,,12,287,4.125201225280762,4.1251726150512695,,
4.967161655426025,4.956075668334961,12,311,,,,
,,13,311,4.126180648803711,4.126125812530518,,
4.989717960357666,4.97846794128418,13,335,,,,
,,14,335,4.118250846862793,4.118210315704346,,
4.954049587249756,4.943077087402344,14,359,,,,
,,15,359,4.122091293334961,4.122071743011475,,
5.001485347747803,4.9901862144470215,15,383,,,,
,,16,383,4.119470596313477,4.119470119476318,,
4.963401794433594,4.952317237854004,16,407,,,,
,,17,407,4.114175319671631,4.11416482925415,,
4.9506611824035645,4.93964958190918,17,431,,,,
,,18,431,4.114860534667969,4.114920139312744,,
4.987288475036621,4.976013660430908,18,455,,,,
,,19,455,4.117715835571289,4.117710590362549,,
4.9798126220703125,4.968596458435059,19,479,,,,
,,20,479,4.111365795135498,4.111338138580322,,
4.964615345001221,4.953511714935303,20,503,,,,
,,21,503,4.1088032722473145,4.108794689178467,,
4.961313724517822,4.950231075286865,21,527,,,,
,,22,527,4.114353656768799,4.114295482635498,,
4.975934028625488,4.964725971221924,22,551,,,,
,,23,551,4.1100850105285645,4.110077381134033,,
4.977997779846191,4.966777801513672,23,575,,,,
,,24,575,4.108321666717529,4.108322620391846,,
4.9746174812316895,4.963425159454346,24,599,,,,
,,25,599,4.108689785003662,4.108654499053955,,
4.955235958099365,4.944141387939453,25,623,,,,
,,26,623,4.1017374992370605,4.1017608642578125,,
4.980794906616211,4.969558238983154,26,647,,,,
,,27,647,4.108606815338135,4.108632564544678,,
5.066298961639404,5.0544514656066895,27,671,,,,
,,28,671,4.108835697174072,4.108847618103027,,
5.007840633392334,4.996417045593262,28,695,,,,
,,29,695,4.108003616333008,4.107979774475098,,
4.97782564163208,4.966574668884277,29,719,,,,
,,30,719,4.103413105010986,4.10337495803833,,
4.967414855957031,4.9562506675720215,30,743,,,,
,,31,743,4.110015392303467,4.1100311279296875,,
4.9591474533081055,4.948066711425781,31,767,,,,
,,32,767,4.105466365814209,4.105446815490723,,
4.950987815856934,4.939975738525391,32,791,,,,
,,33,791,4.107396125793457,4.107386112213135,,
4.988340377807617,4.977078914642334,33,815,,,,
,,34,815,4.109235763549805,4.109243392944336,,
4.951420307159424,4.940406322479248,34,839,,,,
,,35,839,4.1064934730529785,4.106481075286865,,
4.958535194396973,4.947455406188965,35,863,,,,
,,36,863,4.104547500610352,4.104569435119629,,
4.978544235229492,4.967272758483887,36,887,,,,
,,37,887,4.104931831359863,4.104930400848389,,
4.94385290145874,4.932806968688965,37,911,,,,
,,38,911,4.105691909790039,4.105687618255615,,
4.9965314865112305,4.9851975440979,38,935,,,,
,,39,935,4.103648662567139,4.1036481857299805,,
4.948413848876953,4.9374518394470215,39,959,,,,
,,40,959,4.107079982757568,4.107107162475586,,
4.987077236175537,4.975759983062744,40,983,,,,
,,41,983,4.105788707733154,4.105824947357178,,
5.034305095672607,5.022675514221191,41,1007,,,,
,,42,1007,4.103998184204102,4.103968143463135,,
4.968906879425049,4.95778751373291,42,1031,,,,
,,43,1031,4.103513717651367,4.103487491607666,,
5.033909797668457,5.022295951843262,43,1055,,,,
,,44,1055,4.104333400726318,4.104340076446533,,
4.981203556060791,4.969982147216797,44,1079,,,,
,,45,1079,4.104521751403809,4.104541301727295,,
4.984192848205566,4.972925662994385,45,1103,,,,
,,46,1103,4.098325252532959,4.098328113555908,,
4.98993444442749,4.978615760803223,46,1127,,,,
,,47,1127,4.097560405731201,4.097571849822998,,
4.965145111083984,4.953988075256348,47,1151,,,,
,,48,1151,4.09999418258667,4.10000467300415,,
4.979618549346924,4.968350887298584,48,1175,,,,
,,49,1175,4.100113391876221,4.1001129150390625,,
5.036379337310791,5.024785041809082,49,1199,,,,
,,50,1199,4.09806489944458,4.098042011260986,,
4.984320163726807,4.973048210144043,50,1223,,,,
,,51,1223,4.100607872009277,4.1006245613098145,,
,,51,1247,,,4.3661208152771,4.339706897735596
