val_mae,val_loss,epoch,step,train_mae,train_loss
4.451306343078613,4.427832126617432,0,396,,
,,1,396,3.9403116703033447,3.9402265548706055
3.467649459838867,3.4507408142089844,1,793,,
,,2,793,3.368516683578491,3.368574619293213
3.1722326278686523,3.1569406986236572,2,1190,,
,,3,1190,2.869060754776001,2.8690226078033447
3.033071994781494,3.0200555324554443,3,1587,,
,,4,1587,2.740690231323242,2.7407891750335693
2.9814672470092773,2.9691030979156494,4,1984,,
,,5,1984,2.69802188873291,2.698240041732788
3.0116424560546875,2.9983439445495605,5,2381,,
,,6,2381,2.673923969268799,2.6740667819976807
2.977393627166748,2.964637041091919,6,2778,,
,,7,2778,2.6738851070404053,2.6739132404327393
2.9492526054382324,2.937027931213379,7,3175,,
,,8,3175,2.6597793102264404,2.6599369049072266
2.943966865539551,2.931962728500366,8,3572,,
,,9,3572,2.638570547103882,2.638817548751831
2.9440057277679443,2.9319252967834473,9,3969,,
,,10,3969,2.6364331245422363,2.6365432739257812
2.901399850845337,2.8898537158966064,10,4366,,
,,11,4366,2.6308321952819824,2.6309237480163574
2.9444308280944824,2.932058572769165,11,4763,,
,,12,4763,2.635066032409668,2.6351158618927
2.91967511177063,2.9079749584198,12,5160,,
,,13,5160,2.635993242263794,2.6360301971435547
2.9382214546203613,2.926924467086792,13,5557,,
,,14,5557,2.630880117416382,2.6309335231781006
2.894901990890503,2.883425235748291,14,5954,,
,,15,5954,2.625657796859741,2.625645160675049
2.895881175994873,2.884396553039551,15,6351,,
,,16,6351,2.6204352378845215,2.620532512664795
2.924290418624878,2.912421941757202,16,6748,,
,,17,6748,2.6229734420776367,2.6230320930480957
2.887971878051758,2.8766021728515625,17,7145,,
,,18,7145,2.613175392150879,2.613293170928955
2.919405221939087,2.9073426723480225,18,7542,,
,,19,7542,2.618776559829712,2.6189029216766357
2.8889336585998535,2.8773889541625977,19,7939,,
,,20,7939,2.612621307373047,2.612698554992676
2.877531051635742,2.8661584854125977,20,8336,,
,,21,8336,2.612091541290283,2.6120405197143555
2.889315366744995,2.877767324447632,21,8733,,
,,22,8733,2.607974052429199,2.607978343963623
2.874472141265869,2.8631207942962646,22,9130,,
,,23,9130,2.606034994125366,2.6061785221099854
2.9071896076202393,2.8953466415405273,23,9527,,
,,24,9527,2.6035430431365967,2.6035609245300293
2.8794679641723633,2.868220806121826,24,9924,,
,,25,9924,2.6014816761016846,2.601710081100464
2.881701707839966,2.8702495098114014,25,10321,,
,,26,10321,2.612269163131714,2.612161159515381
