val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
4.285482406616211,4.264886379241943,0,1566,,,,
,,1,1566,3.897047758102417,3.8966856002807617,,
4.190965175628662,4.170851707458496,1,3133,,,,
,,2,3133,3.5933547019958496,3.5931997299194336,,
4.163585186004639,4.143216133117676,2,4700,,,,
,,3,4700,3.5305590629577637,3.5308568477630615,,
4.167670726776123,4.1472673416137695,3,6267,,,,
,,4,6267,3.503471851348877,3.5032505989074707,,
4.097464561462402,4.077304363250732,4,7834,,,,
,,5,7834,3.4867656230926514,3.4866299629211426,,
4.104928493499756,4.084141731262207,5,9401,,,,
,,6,9401,3.479374885559082,3.4797186851501465,,
4.118871212005615,4.097968101501465,6,10968,,,,
,,7,10968,3.4709620475769043,3.471087694168091,,
4.0862507820129395,4.065951824188232,7,12535,,,,
,,8,12535,3.459463357925415,3.4594409465789795,,
4.070374965667725,4.0504255294799805,8,14102,,,,
,,9,14102,3.4529099464416504,3.4530084133148193,,
4.102080345153809,4.081975936889648,9,15669,,,,
,,10,15669,3.455432176589966,3.455582618713379,,
4.101397514343262,4.081389427185059,10,17236,,,,
,,11,17236,3.446686267852783,3.4465417861938477,,
4.108036518096924,4.087594032287598,11,18803,,,,
,,12,18803,3.440993070602417,3.440762519836426,,
4.122688293457031,4.101943016052246,12,20370,,,,
,,13,20370,3.4338035583496094,3.433912754058838,,
4.092442512512207,4.072212219238281,13,21937,,,,
,,14,21937,3.426300048828125,3.4261159896850586,,
4.146890163421631,4.126425743103027,14,23504,,,,
,,15,23504,3.4217798709869385,3.4217522144317627,,
4.098525047302246,4.078195095062256,15,25071,,,,
,,16,25071,3.4182090759277344,3.418158769607544,,
4.096266746520996,4.07569694519043,16,26638,,,,
,,17,26638,3.4091806411743164,3.409313678741455,,
4.105289936065674,4.084438323974609,17,28205,,,,
,,18,28205,3.409379720687866,3.409451484680176,,
4.12136697769165,4.100790500640869,18,29772,,,,
,,19,29772,3.3998401165008545,3.4003379344940186,,
4.0988311767578125,4.078344345092773,19,31339,,,,
,,20,31339,3.3992066383361816,3.3990654945373535,,
4.173036098480225,4.151392459869385,20,32906,,,,
,,21,32906,3.3936104774475098,3.3935961723327637,,
4.132288455963135,4.11140251159668,21,34473,,,,
,,22,34473,3.3884117603302,3.3886516094207764,,
4.270906448364258,4.247719764709473,22,36040,,,,
,,23,36040,3.3861422538757324,3.386143445968628,,
4.159390449523926,4.13808012008667,23,37607,,,,
,,24,37607,3.382019519805908,3.382047414779663,,
4.315687656402588,4.292444705963135,24,39174,,,,
,,25,39174,3.3809654712677,3.381096124649048,,
4.213337421417236,4.191651344299316,25,40741,,,,
,,26,40741,3.3753502368927,3.37546968460083,,
4.199050426483154,4.177638530731201,26,42308,,,,
,,27,42308,3.371605396270752,3.3713979721069336,,
4.229545593261719,4.207882881164551,27,43875,,,,
,,28,43875,3.3681275844573975,3.3681650161743164,,
4.2365007400512695,4.2137627601623535,28,45442,,,,
,,29,45442,3.3653664588928223,3.365478754043579,,
4.187300205230713,4.165583610534668,29,47009,,,,
,,30,47009,3.3608181476593018,3.3608529567718506,,
4.232682228088379,4.210669994354248,30,48576,,,,
,,31,48576,3.3587372303009033,3.358802556991577,,
4.283217906951904,4.260351181030273,31,50143,,,,
,,32,50143,3.3522696495056152,3.3526344299316406,,
4.328361511230469,4.305205345153809,32,51710,,,,
,,33,51710,3.3482377529144287,3.34834885597229,,
4.324115753173828,4.300715446472168,33,53277,,,,
,,34,53277,3.3422863483428955,3.3422913551330566,,
4.225931644439697,4.20368766784668,34,54844,,,,
,,35,54844,3.348284959793091,3.348511219024658,,
4.264583587646484,4.241843223571777,35,56411,,,,
,,36,56411,3.342808246612549,3.34279465675354,,
4.258330821990967,4.2356343269348145,36,57978,,,,
,,37,57978,3.339998245239258,3.3400142192840576,,
4.27373743057251,4.251240253448486,37,59545,,,,
,,38,59545,3.333563804626465,3.3338301181793213,,
4.270912170410156,4.2482075691223145,38,61112,,,,
,,39,61112,3.3350796699523926,3.3352255821228027,,
4.216489315032959,4.193111419677734,39,62679,,,,
,,40,62679,3.331315279006958,3.3313307762145996,,
4.261831760406494,4.238670349121094,40,64246,,,,
,,41,64246,3.3249218463897705,3.3250625133514404,,
4.271651744842529,4.248833656311035,41,65813,,,,
,,42,65813,3.3229141235351562,3.323107957839966,,
4.2483978271484375,4.2257490158081055,42,67380,,,,
,,43,67380,3.3219101428985596,3.3223073482513428,,
4.323513984680176,4.300218105316162,43,68947,,,,
,,44,68947,3.31704044342041,3.3170864582061768,,
4.200300216674805,4.178635597229004,44,70514,,,,
,,45,70514,3.3159079551696777,3.3159444332122803,,
4.222794532775879,4.200870990753174,45,72081,,,,
,,46,72081,3.318690776824951,3.318732976913452,,
4.295115947723389,4.271935939788818,46,73648,,,,
,,47,73648,3.307490110397339,3.3076233863830566,,
4.325240135192871,4.301412582397461,47,75215,,,,
,,48,75215,3.306400775909424,3.3065381050109863,,
4.255001544952393,4.232649326324463,48,76782,,,,
,,49,76782,3.3054635524749756,3.3055667877197266,,
4.265094757080078,4.242483615875244,49,78349,,,,
,,50,78349,3.3030450344085693,3.303163528442383,,
,,50,78350,,,3.6370506286621094,3.61521577835083
