val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
2.90175461769104,2.8915300369262695,0,1585,,,,
,,1,1585,2.866755723953247,2.8671388626098633,,
2.9281411170959473,2.9177772998809814,1,3171,,,,
,,2,3171,2.614260673522949,2.61438250541687,,
2.913623094558716,2.902921199798584,2,4757,,,,
,,3,4757,2.601639747619629,2.6018764972686768,,
2.9201607704162598,2.910114288330078,3,6343,,,,
,,4,6343,2.644390821456909,2.6444201469421387,,
2.9387447834014893,2.9282124042510986,4,7929,,,,
,,5,7929,2.6314797401428223,2.6316580772399902,,
2.9281415939331055,2.917860984802246,5,9515,,,,
,,6,9515,2.625889778137207,2.6262547969818115,,
2.9033405780792236,2.8932507038116455,6,11101,,,,
,,7,11101,2.614737033843994,2.6151034832000732,,
2.8932652473449707,2.8829095363616943,7,12687,,,,
,,8,12687,2.5956854820251465,2.595970869064331,,
2.880279064178467,2.8700544834136963,8,14273,,,,
,,9,14273,2.5917625427246094,2.5920634269714355,,
2.872040271759033,2.8620283603668213,9,15859,,,,
,,10,15859,2.5859789848327637,2.586005210876465,,
3.1955714225769043,3.1812703609466553,10,17445,,,,
,,11,17445,3.2288150787353516,3.222700595855713,,
3.1192336082458496,3.1061673164367676,11,19031,,,,
,,12,19031,2.6865971088409424,2.686889171600342,,
2.923543691635132,2.912538528442383,12,20617,,,,
,,13,20617,2.664137363433838,2.664332389831543,,
3.0651543140411377,3.0525758266448975,13,22203,,,,
,,14,22203,2.6718130111694336,2.6719651222229004,,
2.9217708110809326,2.9109439849853516,14,23789,,,,
,,15,23789,2.6344716548919678,2.6347973346710205,,
2.949651002883911,2.938194751739502,15,25375,,,,
,,16,25375,2.6450564861297607,2.6450743675231934,,
2.9161672592163086,2.905325412750244,16,26961,,,,
,,17,26961,2.6332385540008545,2.6334755420684814,,
3.050619125366211,3.038719892501831,17,28547,,,,
,,18,28547,2.633450508117676,2.6334540843963623,,
2.8831605911254883,2.872715473175049,18,30133,,,,
,,19,30133,2.620253324508667,2.620305061340332,,
2.900172710418701,2.88948655128479,19,31719,,,,
,,20,31719,2.6243951320648193,2.624452829360962,,
2.996720314025879,2.985302686691284,20,33305,,,,
,,21,33305,2.6265501976013184,2.6267731189727783,,
3.054912567138672,3.042309522628784,21,34891,,,,
,,22,34891,2.621706485748291,2.6217658519744873,,
2.9285695552825928,2.917785167694092,22,36477,,,,
,,23,36477,2.6061317920684814,2.606163501739502,,
2.8736071586608887,2.863250255584717,23,38063,,,,
,,24,38063,2.616288423538208,2.616330146789551,,
3.133659839630127,3.120520830154419,24,39649,,,,
,,25,39649,2.610027313232422,2.6100270748138428,,
3.1836533546447754,3.1697535514831543,25,41235,,,,
,,26,41235,2.602156639099121,2.60261607170105,,
2.908822536468506,2.8978912830352783,26,42821,,,,
,,27,42821,2.6048624515533447,2.6053314208984375,,
2.9868314266204834,2.9751665592193604,27,44407,,,,
,,28,44407,2.6008763313293457,2.600849151611328,,
2.9798173904418945,2.9678544998168945,28,45993,,,,
,,29,45993,2.635192394256592,2.635240077972412,,
2.9105172157287598,2.8996217250823975,29,47579,,,,
,,30,47579,2.619223117828369,2.6192116737365723,,
3.358332872390747,3.342034101486206,30,49165,,,,
,,31,49165,2.78393292427063,2.7825777530670166,,
2.9170010089874268,2.9061410427093506,31,50751,,,,
,,32,50751,2.6067006587982178,2.6067984104156494,,
2.9991588592529297,2.987126350402832,32,52337,,,,
,,33,52337,2.5912301540374756,2.591301441192627,,
2.9441168308258057,2.932844638824463,33,53923,,,,
,,34,53923,2.602332592010498,2.6024818420410156,,
2.916198253631592,2.905486583709717,34,55509,,,,
,,35,55509,2.6020212173461914,2.602123737335205,,
2.918342351913452,2.9072248935699463,35,57095,,,,
,,36,57095,2.6045267581939697,2.604466676712036,,
2.888066530227661,2.877436876296997,36,58681,,,,
,,37,58681,2.600437879562378,2.6007516384124756,,
2.991576910018921,2.979670286178589,37,60267,,,,
,,38,60267,2.5925657749176025,2.592552900314331,,
2.8916420936584473,2.8812062740325928,38,61853,,,,
,,39,61853,2.5988800525665283,2.598954916000366,,
2.877868413925171,2.8675317764282227,39,63439,,,,
,,40,63439,2.5975167751312256,2.59769606590271,,
2.9882590770721436,2.9765737056732178,40,65025,,,,
,,41,65025,2.6243767738342285,2.6243984699249268,,
2.9668681621551514,2.955030918121338,41,66611,,,,
,,42,66611,2.591248035430908,2.5914976596832275,,
3.1373112201690674,3.12502121925354,42,68197,,,,
,,43,68197,2.880642890930176,2.8807566165924072,,
2.998262405395508,2.9870595932006836,43,69783,,,,
,,44,69783,2.631429433822632,2.6314966678619385,,
2.92214035987854,2.9114065170288086,44,71369,,,,
,,45,71369,2.5975005626678467,2.5978517532348633,,
2.8815107345581055,2.8709213733673096,45,72955,,,,
,,46,72955,2.587606906890869,2.587759494781494,,
2.897353410720825,2.8869516849517822,46,74541,,,,
,,47,74541,2.611085891723633,2.611431837081909,,
2.8678181171417236,2.8576107025146484,47,76127,,,,
,,48,76127,2.5809555053710938,2.5809683799743652,,
2.8502118587493896,2.8401377201080322,48,77713,,,,
,,49,77713,2.5799028873443604,2.5801544189453125,,
2.8726041316986084,2.8622944355010986,49,79299,,,,
,,50,79299,2.580519914627075,2.580937147140503,,
,,50,79300,,,2.5991806983947754,2.5889182090759277
